name,selling_price_idr,year,seller_type,owner,km_driven
Honda Activa [2000-2015],5915700,2014,Individual,1st owner,52000
Bajaj Pulsar 150,9859500,2007,Individual,1st owner,52000
Hero Honda Splendor Plus,3470544,2006,Individual,1st owner,52000
Bajaj Discover 150,4929750,2011,Individual,1st owner,52000
Honda CB Unicorn 160,9859500,2017,Individual,1st owner,52000
Bajaj Discover 100,5521320,2015,Individual,2nd owner,52000
Bajaj Pulsar 150 [2001-2011],5225535,2010,Individual,1st owner,52500
Honda CB Shine,2366280,2009,Individual,1st owner,53000
Hero Honda Passion Plus,1577520,2003,Individual,1st owner,53500
Bajaj Xcd,4929750,2008,Individual,1st owner,54000
Honda CB Unicorn 150,14789250,2013,Individual,1st owner,54000
Hero Honda Super Splendor [2005],3943800,2008,Individual,1st owner,54000
Bajaj Pulsar 150,5915700,2010,Individual,1st owner,54000
Suzuki Access 125 [2007-2016],4929750,2012,Individual,1st owner,55000
Hero Achiever 150,5895981,2016,Individual,1st owner,55000
Bajaj Discover 125,4929750,2013,Individual,1st owner,55000
Bajaj Pulsar 180,2957850,2008,Individual,1st owner,55000
Bajaj Pulsar 150,2957850,2006,Individual,1st owner,55000
Hero Maestro Edge,4929750,2017,Individual,1st owner,55000
Hero Splendor Plus,6901650,2013,Individual,1st owner,55000
Bajaj Pulsar 150 [2001-2011],5915700,2010,Individual,2nd owner,55000
Bajaj Pulsar 220F,9859500,2011,Individual,2nd owner,55000
Bajaj Discover 135,4929750,2010,Individual,1st owner,55000
TVS Victor,1971900,2005,Individual,1st owner,55000
Hero Super Splendor,3943800,2007,Individual,1st owner,55000
TVS Apache RTR 160,6901650,2013,Individual,1st owner,55750
Yamaha Fascino 110,8873550,2016,Individual,1st owner,56000
Hero Xtreme [2013-2014],8873550,2014,Individual,1st owner,56420
Bajaj Discover 125,4929750,2011,Individual,1st owner,57000
Bajaj Pulsar 180,7493220,2012,Individual,2nd owner,57000
Hero Xtreme [2013-2014],8873550,2013,Individual,1st owner,57000
Yamaha Fazer [2009-2016],8873550,2014,Individual,1st owner,57700
Bajaj Pulsar 150,1577520,2005,Individual,1st owner,58000
Yamaha FZ S V 2.0,10845450,2017,Individual,1st owner,58000
Bajaj Pulsar NS200,9859500,2013,Dealer,1st owner,58203
Bajaj Pulsar 150,3155040,2011,Individual,2nd owner,59000
Honda CB Twister,3549420,2010,Individual,1st owner,60000
Hero Passion Pro 110,2957850,2008,Individual,1st owner,60000
Hero HF Deluxe,8479170,2018,Individual,1st owner,60000
Bajaj Pulsar 180,5915700,2008,Individual,2nd owner,60000
Yamaha FZ S [2012-2016],8281980,2013,Individual,1st owner,60000
Bajaj Pulsar 150,11831400,2014,Individual,1st owner,60000
Honda Activa [2000-2015],1971900,2009,Individual,1st owner,60000
Bajaj Discover 135,2366280,2007,Individual,1st owner,60000
Bajaj Pulsar 150,4338180,2011,Individual,1st owner,60000
Hero Honda Passion PRO [2012],5521320,2011,Individual,2nd owner,60000
TVS Excel,985950,1998,Individual,1st owner,60000
Hero Honda Passion Plus,4633965,2010,Individual,1st owner,60000
Bajaj Pulsar 150 [2001-2011],6901650,2010,Individual,1st owner,60000
Bajaj Pulsar 135 LS,3943800,2011,Individual,1st owner,60000
Hero Maestro,5915700,2013,Individual,1st owner,60000
Honda Activa 3G,7887600,2016,Individual,1st owner,60000
Hero Honda CBZ extreme,6901650,2012,Individual,1st owner,60000
Hero Honda Passion Pro,5915700,2014,Individual,1st owner,60000
Bajaj Pulsar 150,3943800,2010,Individual,1st owner,60000
Bajaj Discover 150F,7887600,2014,Individual,2nd owner,60855
Hero Honda Splendor,1971900,2000,Individual,1st owner,61000
Bajaj Discover 135,7296030,2008,Individual,1st owner,62000
Hero Karizma ZMR,8479170,2012,Individual,2nd owner,63000
Hero Honda Splendor Plus,2957850,2005,Individual,1st owner,65000
Royal Enfield Bullet 350 [2007-2011],12817350,2011,Individual,2nd owner,65000
Bajaj Pulsar 150,5126940,2012,Individual,2nd owner,65000
Hero Honda CD100,2957850,1998,Individual,1st owner,65000
TVS Wego,2957850,2011,Individual,1st owner,65000
Hero Honda CD Deluxe,4929750,2008,Individual,3rd owner,65000
Bajaj Pulsar 150,7887600,2014,Individual,2nd owner,65000
Honda Aviator,2760660,2008,Individual,1st owner,66000
Bajaj Discover 125,4535370,2011,Individual,1st owner,66000
Hero Honda Passion,1774710,2002,Individual,2nd owner,66191
Yamaha FZ16,5324130,2011,Individual,1st owner,67000
TVS Star City Plus,5126940,2014,Individual,2nd owner,68000
Yamaha FZ S [2012-2016],11831400,2014,Individual,1st owner,68000
Hero Super Splendor,7887600,2013,Individual,1st owner,68000
Honda CB Unicorn 150,5915700,2010,Individual,1st owner,69000
Hero CD Deluxe,4929750,2014,Individual,1st owner,70000
Yamaha FZ16,5915700,2010,Individual,1st owner,70000
Yamaha FZ S V 2.0,9859500,2014,Individual,1st owner,70000
Hero Honda CD Deluxe,2957850,2011,Individual,1st owner,70000
Bajaj Pulsar 150,4929750,2013,Individual,2nd owner,70000
Honda Livo,6901650,2016,Individual,1st owner,70000
Bajaj Discover 110,2957850,2007,Individual,1st owner,70000
Bajaj Discover 125,4929750,2011,Individual,1st owner,70000
TVS Apache RTR 200 4V,17747100,2018,Individual,1st owner,70000
Hero Honda Passion Plus,4929750,2007,Individual,1st owner,70000
Hero Honda Splendor Plus,2957850,2007,Individual,1st owner,70000
Bajaj Pulsar 150 [2001-2011],6901650,2008,Individual,1st owner,70000
Hero Honda Splendor Plus,4929750,2012,Individual,1st owner,70000
Bajaj Pulsar 180,9859500,2010,Individual,1st owner,70000
Hero Honda CBZ extreme,5915700,2011,Individual,3rd owner,70000
Bajaj Discover 125,4929750,2016,Individual,1st owner,70350
Hero Honda Splendor Plus,5521320,2008,Individual,1st owner,70889
Bajaj Discover 150,4929750,2014,Individual,2nd owner,71000
Hero Glamour 125,7887600,2015,Individual,1st owner,71250
TVS Sport,2366280,2007,Individual,1st owner,72000
Honda CB Hornet 160R,14789250,2016,Individual,1st owner,72000
Honda CB Shine SP,9267930,2017,Individual,1st owner,73000
Yamaha FZ S [2012-2016],7493220,2013,Individual,1st owner,75000
Hero Honda Passion Plus,4929750,2006,Individual,1st owner,75000
Bajaj Xcd,4929750,2007,Individual,1st owner,75000
Honda CB Unicorn,8873550,2010,Individual,1st owner,75000
Honda CB Trigger,7887600,2015,Individual,1st owner,75000
Honda CB Trigger,7887600,2014,Individual,1st owner,75000
Bajaj Discover 125,5126940,2012,Individual,1st owner,75000
Hero Glamour 125,2957850,2011,Individual,1st owner,75000
Honda CB Unicorn Dazzler,9859500,2010,Individual,1st owner,75000
Hero Honda Splendor Plus,3943800,2006,Individual,1st owner,75000
Hero Honda Splendor,1971900,2006,Individual,1st owner,75000
Hero Honda Glamour,8873550,2012,Individual,1st owner,75000
Hero Honda CBZ extreme,7493220,2013,Individual,1st owner,75000
Bajaj Discover 125 ST,4929750,2012,Individual,1st owner,76000
Bajaj Pulsar 135 LS,4535370,2010,Individual,1st owner,77000
Honda CB Unicorn 150,7887600,2014,Individual,1st owner,77592
Hero Xtreme Sports,9859500,2014,Individual,1st owner,80000
Bajaj Pulsar 180,4929750,2007,Individual,1st owner,80000
Hero Honda Glamour,2957850,2006,Individual,1st owner,80000
Bajaj Pulsar 135 LS,3943800,2010,Individual,1st owner,80000
Bajaj Pulsar 135 LS,3943800,2010,Individual,1st owner,80000
Honda Shine,3943800,2007,Individual,1st owner,80000
Hero Honda CBZ extreme,4929750,2007,Individual,1st owner,80000
Hero Super Splendor,7887600,2017,Individual,2nd owner,80000
Hero Passion XPro,5521320,2012,Individual,1st owner,81000
Bajaj CT 100,1577520,2005,Individual,2nd owner,82000
Yamaha FZ S [2012-2016],7887600,2011,Individual,1st owner,82000
Bajaj Discover 100,3943800,2012,Individual,1st owner,85000
Hero Honda Passion Plus,4338180,2008,Individual,2nd owner,85000
Hero Honda Achiever,2957850,2009,Individual,1st owner,86000
Honda CB Twister,4929750,2012,Individual,1st owner,86000
Hero Super Splendor,5915700,2011,Individual,1st owner,89000
Hero Honda CBZ extreme,3943800,2007,Individual,1st owner,90000
Hero Honda Passion PRO [2012],2366280,2012,Individual,1st owner,90000
Bajaj Pulsar 150,1971900,2008,Individual,1st owner,92233
Yamaha FZ16,7887600,2016,Individual,1st owner,93000
Honda Shine,5915700,2013,Individual,1st owner,93000
Honda Activa [2000-2015],4535370,2009,Individual,1st owner,95000
Honda Activa [2000-2015],4535370,2009,Individual,1st owner,95000
Hero Honda Splendor Plus,1971900,2007,Individual,1st owner,98000
Hero Xtreme Sports,4338180,2014,Individual,1st owner,99000
Honda CB Unicorn 160,14789250,2015,Individual,1st owner,100000
Hero Splendor Plus,2366280,2007,Individual,1st owner,100000
Hero Honda CD Deluxe,2366280,2007,Individual,2nd owner,100000
Bajaj Xcd,4929750,2007,Individual,2nd owner,100000
Hero Honda Splendor Plus,2957850,2006,Individual,1st owner,100000
Honda Activa [2000-2015],3273354,2010,Individual,1st owner,100000
Yamaha Fazer [2009-2016],9859500,2012,Individual,1st owner,100000
Bajaj Xcd,2957850,2008,Individual,1st owner,100000
TVS Streak,1971900,2009,Individual,1st owner,100000
Honda CB Hornet 160R,15775200,2016,Individual,1st owner,100000
Bajaj Pulsar 150 [2001-2011],2366280,2007,Individual,2nd owner,100000
Bajaj Pulsar 150,4140990,2007,Individual,1st owner,100000
Hero Honda Passion Plus,4929750,2008,Dealer,2nd owner,100000
Hero Maestro,9859500,2016,Individual,1st owner,100000
TVS Star City,4140990,2011,Individual,1st owner,101000
Hero Honda Passion Plus,1478925,2004,Individual,1st owner,120000
Yamaha Fazer [2009-2016],4929750,2013,Individual,1st owner,120000
Hero Honda Splendor Plus,3943800,2004,Individual,2nd owner,127000
Suzuki GS150R,5915700,2010,Individual,1st owner,130000
Honda Karizma,6112890,2012,Individual,1st owner,213000
Honda CB Hornet 160R,13803300,2017,Individual,1st owner,240000
Hero Honda Karizma,7887600,2011,Individual,2nd owner,340000
Royal Enfield Electra Twinspark,23662800,2016,Individual,1st owner,345000
Hero Glamour 125,6901650,2014,Individual,1st owner,450000
Activa 3g,3352230,2010,Individual,1st owner,500000
Honda Activa [2000-2015],4929750,2009,Individual,1st owner,585659
Hero Honda CD100SS,1971900,1997,Individual,1st owner,646000
TVS Apache RTR 160,2957850,2009,Individual,4th owner,880000
